MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
CHEVROLET,CORVETTE CONVERTIBLE STINGRAY/Z51,14,449,188,124,271,1525,159,94,27,74,128,91,87,160,157,49/51
CHEVROLET,CORVETTE CONVERTIBLE Z06,14,449,196,124,271,1624,159,94,27,74,128,91,87,160,157,50/50
CHEVROLET,CORVETTE COUPE STINGRAY/Z51,13,449,188,124,271,1497,159,41,27,74,102,91,87,160,157,49/51
CHEVROLET,CORVETTE COUPE Z06,13,449,196,124,271,1599,159,41,27,74,102,91,87,160,157,50/50
CHEVROLET,CRUZE 4DR SEDAN,16,467,180,146,270,1250,117,51,35,82,109,98,99,156,155,61/39
CHEVROLET,CRUZE 5DR HATCH,17,445,179,147,270,1312,117,140,35,82,109,98,77,156,155,61/39
CHEVROLET,EQUINOX 4DR SUV 1.5L AWD,17,465,184,166,273,1593,122,174,40,90,97,95,98,158,158,57/43
CHEVROLET,EQUINOX 4DR SUV DIESEL FWD,17,465,184,166,273,1581,122,174,40,90,97,95,98,158,158,58/42
CHEVROLET,EQUINOX 4DR SUV DIESEL/2.0L AWD,17,465,184,166,273,1656,122,174,40,90,97,95,98,158,158,58/42
CHEVROLET,EQUINOX 4DR SUV FWD,17,465,184,166,273,1485,122,174,40,90,97,95,98,158,158,58/42
CHEVROLET,IMPALA 4DR SEDAN 2.5L LS/LT/LTZ/2.4ECO,13,511,185,150,284,1661,135,69,30,84,113,101,126,157,160,59/41
CHEVROLET,IMPALA 4DR SEDAN 3.6L LT/LTZ,13,511,185,150,284,1717,135,69,30,84,113,101,126,157,160,59/41
CHEVROLET,MALIBU L/LS/LT 4DR SEDAN,16,492,185,146,283,1400,129,55,35,83,118,97,113,159,159,59/41
CHEVROLET,MALIBU PREMIER/HYBRID 4DR SEDAN,16,492,185,146,283,1536,129,55,35,83,118,97,113,159,159,61/39
CHEVROLET,SILVERADO 1500 CREW CAB M/BOX 2WD,18,613,206,192,398,2120,131,343,48,106,130,95,121,173,173,N/A
CHEVROLET,SILVERADO 1500 CREW CAB M/BOX 4WD,18,613,206,192,398,2208,131,343,48,106,130,95,121,173,173,N/A
CHEVROLET,SILVERADO 1500 CREW CAB S/BOX 2WD,18,589,206,192,374,2087,131,319,48,106,130,95,121,173,173,N/A
CHEVROLET,SILVERADO 1500 CREW CAB S/BOX 4WD,18,589,206,192,374,2184,131,319,48,106,130,95,121,173,173,N/A
CHEVROLET,SILVERADO 1500 DOUBLE CAB M/BOX 2WD,18,589,206,192,374,2086,131,319,48,106,130,95,121,173,173,N/A
CHEVROLET,SILVERADO 1500 DOUBLE CAB M/BOX 4WD,18,589,206,192,374,2184,131,319,48,106,130,95,121,173,173,N/A
CHEVROLET,SILVERADO 1500 LD 2WD,14,573,203,188,365,2261,136,304,44,89,129,100,108,175,172,58/42
