MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
FORD,FLEX 5DR CUV FWD,8,513,193,172,300,2027,130,220,42,96,126,97,114,167,167,54/46
FORD,FUSION 4DR SEDAN,17,487,185,148,285,1558,122,50,35,84,116,94,110,159,159,59/41
FORD,FUSION 4DR SEDAN ENERGI PHEV,17,487,186,146,285,1797,122,50,35,84,116,94,110,158,158,59/41
FORD,FUSION 4DR SEDAN HYBRID,17,487,186,146,285,1660,122,50,35,84,116,94,110,158,158,59/41
FORD,GT 2DR COUPE,17,476,200,111,271,1385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169,166,N/A
FORD,MUSTANG ECOBOOST 2DR CONVERTIBLE,14,478,192,139,272,1902,153,69,29,81,129,95,112,159,165,52/48
FORD,MUSTANG ECOBOOST 2DR COUPE,14,478,192,138,272,1855,153,63,29,81,117,95,112,158,165,52/48
FORD,MUSTANG GT 2DR CONVERTIBLE,14,478,192,139,272,2066,153,69,29,81,129,95,112,159,165,54/46
FORD,MUSTANG GT 2DR COUPE,14,478,192,138,272,1995,153,63,29,81,117,95,112,158,165,54/46
FORD,MUSTANG GT350/350R 2DR COUPE,14,482,193,138,272,2066,157,63,29,81,117,99,112,161,162,54/46
FORD,POLICE INTERCEPTOR SEDAN,10,516,194,154,287,1923,139,70,32,85,119,103,126,168,168,N/A
FORD,POLICE INTERCEPTOR UTILITY,11,501,200,179,286,2173,118,197,40,95,127,96,117,170,170,N/A
FORD,RANGER SUPERCAB 4WD,19,536,186,181,322,1974,129,277,40,87,117,93,123,156,156,57/43
FORD,RANGER SUPERCREW 4WD,19,536,186,181,322,2014,129,277,40,87,117,93,123,156,156,57/43
FORD,TAURUS 4DR SEDAN AWD,10,516,194,154,287,1918,139,70,32,85,119,103,126,168,168,60/40
FORD,TAURUS 4DR SEDAN FWD,10,516,194,154,287,1822,139,70,32,85,119,103,126,168,168,60/40
FORD,TRANSIT CONNECT VAN XL/XLT,13,481,184,179,306,1624,90,217,49,86,119,87,88,156,158,55/45
FORD,TRANSIT CONNECT WAGON XL/XLT/TITANIUM,13,481,184,179,306,1804,90,217,49,86,119,87,88,156,158,55/45
FORD,TRANSIT VAN 150 LONG WB LOW ROOF,13,604,207,211,375,2268,82,345,66,105,163,102,126,173,174,N/A
FORD,TRANSIT VAN 150 LONG WB MEDIUM ROOF,13,598,207,256,375,2268,82,345,66,105,163,102,120,173,174,N/A
FORD,TRANSIT VAN 150 REGULAR WB LOW ROOF,13,559,207,212,330,2268,82,300,66,105,163,102,126,173,174,N/A
FORD,TRANSIT VAN 150 REGULAR WB MEDIUM ROOF,13,553,207,256,330,2268,82,300,66,105,163,102,120,173,174,N/A
FORD,TRANSIT VAN 250 LONG WB EL HIGH ROOF,13,670,207,278,375,2268,82,417,66,105,163,102,193,173,174,N/A
FORD,TRANSIT VAN 250 LONG WB HIGH ROOF,13,598,207,280,375,2268,82,345,66,105,163,102,120,173,174,N/A
FORD,TRANSIT VAN 250 LONG WB LOW ROOF,13,604,207,211,375,2268,82,345,66,105,163,102,126,173,174,N/A
FORD,TRANSIT VAN 250 LONG WB MEDIUM ROOF,13,598,207,256,375,2268,82,345,66,105,163,102,120,173,174,N/A
FORD,TRANSIT VAN 250 REGULAR WB LOW ROOF,13,559,207,212,330,2268,82,300,66,105,163,102,126,173,174,N/A
FORD,TRANSIT VAN 250 REGULAR WB MEDIUM ROOF,13,553,207,256,330,2268,82,300,66,105,163,102,120,173,174,N/A
FORD,TRANSIT VAN 350 LONG WB EL HIGH ROOF,13,670,207,278,375,2318,82,417,66,105,163,102,193,173,174,N/A
FORD,TRANSIT VAN 350 LONG WB HIGH ROOF,13,598,207,280,375,2318,82,345,66,105,163,102,120,173,174,N/A
FORD,TRANSIT VAN 350 LONG WB LOW ROOF,13,604,207,211,375,2318,82,345,66,105,163,102,126,173,174,N/A
FORD,TRANSIT VAN 350 LONG WB MEDIUM ROOF,13,598,207,256,375,2318,82,345,66,105,163,102,120,173,174,N/A
FORD,TRANSIT VAN 350HD DRW EL HIGH ROOF,13,670,213,278,375,2590,82,417,66,105,163,102,193,173,167,N/A
FORD,TRANSIT WAGON 150 LOW ROOF,13,559,207,209,330,2526,82,300,66,105,163,102,126,173,174,N/A
FORD,TRANSIT WAGON 150 MID ROOF,13,553,207,251,330,2526,82,300,66,105,163,102,120,173,174,N/A
FORD,TRANSIT WAGON 350 HIGH ROOF,13,598,207,276,375,2881,82,345,66,105,163,102,120,173,174,N/A
FORD,TRANSIT WAGON 350 LOW ROOF,13,604,207,209,375,2881,82,345,66,105,163,102,126,173,174,N/A
FORD,TRANSIT WAGON 350 MID ROOF,13,598,207,252,375,2881,82,345,66,105,163,102,120,173,174,N/A
FORD,TRANSIT WAGON 350HD DRW HIGH ROOF,13,670,213,274,375,3016,82,417,66,105,163,102,193,173,167,N/A
